Gradient Profiler Text Data File: hct116_polysome_rich.csv
Version: 1.88
Date: 2017-02-13
Time: 16:51:40

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
21.05, 0.092563, , 
21.09, 0.091956, , 
21.12, 0.091377, , 
21.16, 0.090696, , 
21.20, 0.090065, , 
21.23, 0.089631, , 
21.27, 0.089090, , 
21.31, 0.088541, , 
21.34, 0.088015, , 
21.38, 0.087591, , 
21.42, 0.087083, , 
21.45, 0.086645, , 
21.49, 0.086229, , 
21.53, 0.085700, , 
21.56, 0.085325, , 
21.60, 0.084897, , 
21.64, 0.084536, , 
21.67, 0.084157, , 
21.71, 0.083785, , 
21.75, 0.083430, , 
21.78, 0.083013, , 
21.82, 0.082690, , 
21.86, 0.082341, , 
21.89, 0.082054, , 
21.93, 0.081721, , 
21.97, 0.081336, , 
22.00, 0.081162, , 
22.04, 0.080843, , 
22.08, 0.080625, , 
22.11, 0.080323, , 
22.15, 0.080113, , 
22.19, 0.079853, , 
22.22, 0.079651, , 
22.26, 0.079487, , 
22.30, 0.079213, , 
22.33, 0.078961, , 
22.37, 0.078690, , 
22.41, 0.078448, , 
22.44, 0.078275, , 
22.48, 0.077932, , 
22.52, 0.077730, , 
22.55, 0.077506, , 
22.59, 0.077365, , 
22.63, 0.077153, , 
22.66, 0.076975, , 
22.70, 0.076783, , 
22.74, 0.076565, , 
22.77, 0.076404, , 
22.81, 0.076190, , 
22.85, 0.076111, , 
22.88, 0.075980, , 
22.92, 0.075756, , 
22.96, 0.075692, , 
22.99, 0.075518, , 
23.03, 0.075349, , 
23.07, 0.075169, , 
23.10, 0.075103, , 
23.14, 0.074899, , 
23.18, 0.074727, , 
23.21, 0.074681, , 
23.25, 0.074489, , 
23.29, 0.074368, , 
23.32, 0.074235, , 
23.36, 0.074140, , 
23.40, 0.074096, , 
23.43, 0.073934, , 
23.47, 0.073789, , 
23.51, 0.073587, , 
23.54, 0.073583, , 
23.58, 0.073440, , 
23.62, 0.073246, , 
23.65, 0.073171, , 
23.69, 0.073054, , 
23.73, 0.073052, , 
23.76, 0.072881, , 
23.80, 0.072707, , 
23.84, 0.072614, , 
23.87, 0.072518, , 
23.91, 0.072399, , 
23.95, 0.072175, , 
23.98, 0.072162, , 
24.02, 0.072070, , 
24.06, 0.072052, , 
24.09, 0.072078, , 
24.13, 0.072027, , 
24.17, 0.072094, , 
24.20, 0.072041, , 
24.24, 0.072052, , 
24.28, 0.072029, , 
24.31, 0.072041, , 
24.35, 0.072183, , 
24.39, 0.072370, , 
24.42, 0.072659, , 
24.46, 0.072875, , 
24.50, 0.073182, , 
24.53, 0.073569, , 
24.57, 0.074047, , 
24.61, 0.074711, , 
24.64, 0.075296, , 
24.68, 0.076245, , 
24.72, 0.077284, , 
24.75, 0.078384, , 
24.79, 0.079578, , 
24.83, 0.081196, , 
24.86, 0.082825, , 
24.90, 0.084786, , 
24.94, 0.087000, , 
24.97, 0.089151, , 
25.01, 0.091732, , 
25.05, 0.094799, , 
25.08, 0.097382, , 
25.12, 0.100713, , 
25.16, 0.104547, , 
25.19, 0.108347, , 
25.23, 0.112584, , 
25.27, 0.117007, , 
25.30, 0.121447, , 
25.34, 0.126419, , 
25.38, 0.132159, , 
25.41, 0.136742, , 
25.45, 0.142388, , 
25.49, 0.148629, , 
25.52, 0.154362, , 
25.56, 0.160054, , 
25.60, 0.166875, , 
25.63, 0.173055, , 
25.67, 0.179621, , 
25.71, 0.185380, , 
25.74, 0.191712, , 
25.78, 0.198325, , 
25.82, 0.204867, , 
25.85, 0.209800, , 
25.89, 0.216403, , 
25.93, 0.222396, , 
25.96, 0.227783, , 
26.00, 0.232634, , 
26.04, 0.238246, , 
26.07, 0.243059, , 
26.11, 0.247575, , 
26.15, 0.252274, , 
26.18, 0.256263, , 
26.22, 0.260547, , 
26.26, 0.264504, , 
26.29, 0.267804, , 
26.33, 0.271466, , 
26.37, 0.274650, , 
26.40, 0.277679, , 
26.44, 0.280286, , 
26.48, 0.282945, , 
26.51, 0.285355, , 
26.55, 0.287510, , 
26.59, 0.289263, , 
26.62, 0.290896, , 
26.66, 0.292546, , 
26.70, 0.293917, , 
26.73, 0.294786, , 
26.77, 0.295733, , 
26.81, 0.296356, , 
26.84, 0.296945, , 
26.88, 0.297234, , 
26.92, 0.297488, , 
26.95, 0.297514, , 
26.99, 0.297508, , 
27.03, 0.297496, , 
27.06, 0.297248, , 
27.10, 0.296889, , 
27.14, 0.296338, , 
27.17, 0.295934, , 
27.21, 0.295297, , 
27.25, 0.294500, , 
27.28, 0.293820, , 
27.32, 0.293019, , 
27.36, 0.292002, , 
27.39, 0.291029, , 
27.43, 0.289992, , 
27.47, 0.288920, , 
27.50, 0.287843, , 
27.54, 0.286790, , 
27.58, 0.285524, , 
27.61, 0.284655, , 
27.65, 0.283533, , 
27.69, 0.282272, , 
27.72, 0.281202, , 
27.76, 0.280066, , 
27.80, 0.278811, , 
27.83, 0.277647, , 
27.87, 0.276511, , 
27.91, 0.275326, , 
27.94, 0.274119, , 
27.98, 0.272864, , 
28.02, 0.271528, , 
28.05, 0.270479, , 
28.09, 0.269077, , 
28.13, 0.267697, , 
28.16, 0.266387, , 
28.20, 0.265162, , 
28.24, 0.263768, , 
28.27, 0.262438, , 
28.31, 0.261133, , 
28.35, 0.259740, , 
28.38, 0.258418, , 
28.42, 0.257030, , 
28.46, 0.255521, , 
28.49, 0.254201, , 
28.53, 0.252908, , 
28.57, 0.251487, , 
