Gradient Profiler Text Data File: hct116_polysome_arg.csv
Version: 1.88
Date: 2017-02-13
Time: 17:08:30

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
26.84, 0.305130, , 
26.88, 0.304307, , 
26.92, 0.303168, , 
26.95, 0.302216, , 
26.99, 0.301251, , 
27.03, 0.300237, , 
27.06, 0.299369, , 
27.10, 0.298356, , 
27.14, 0.297307, , 
27.17, 0.296310, , 
27.21, 0.295442, , 
27.25, 0.294433, , 
27.28, 0.293471, , 
27.32, 0.292595, , 
27.36, 0.291527, , 
27.39, 0.290555, , 
27.43, 0.289429, , 
27.47, 0.288426, , 
27.50, 0.287403, , 
27.54, 0.286229, , 
27.58, 0.285191, , 
27.61, 0.284138, , 
27.65, 0.282960, , 
27.69, 0.281920, , 
27.72, 0.280837, , 
27.76, 0.279806, , 
27.80, 0.278559, , 
27.83, 0.277530, , 
27.87, 0.276434, , 
27.91, 0.275336, , 
27.94, 0.274331, , 
27.98, 0.273084, , 
28.02, 0.271995, , 
28.05, 0.270780, , 
28.09, 0.269706, , 
28.13, 0.268459, , 
28.16, 0.267212, , 
28.20, 0.265987, , 
28.24, 0.264722, , 
28.27, 0.263461, , 
28.31, 0.262085, , 
28.35, 0.260775, , 
28.38, 0.260596, , 
28.42, 0.258733, , 
28.46, 0.257040, , 
28.49, 0.255702, , 
28.53, 0.254478, , 
28.57, 0.252926, , 
28.60, 0.251616, , 
28.64, 0.250325, , 
28.68, 0.249140, , 
28.71, 0.247799, , 
28.75, 0.246394, , 
28.79, 0.245028, , 
28.82, 0.243898, , 
28.86, 0.242425, , 
28.90, 0.241099, , 
28.93, 0.239885, , 
28.97, 0.238787, , 
29.01, 0.237298, , 
29.04, 0.236042, , 
29.08, 0.234753, , 
29.12, 0.233486, , 
29.15, 0.232332, , 
29.19, 0.231147, , 
29.23, 0.229926, , 
29.26, 0.229026, , 
29.30, 0.227880, , 
29.34, 0.226904, , 
29.37, 0.225860, , 
29.41, 0.225152, , 
29.45, 0.224563, , 
29.48, 0.223994, , 
29.52, 0.223538, , 
29.56, 0.223263, , 
29.59, 0.223209, , 
29.63, 0.223209, , 
29.67, 0.223421, , 
29.70, 0.223709, , 
29.74, 0.224502, , 
29.78, 0.225653, , 
29.81, 0.226813, , 
29.85, 0.228484, , 
29.89, 0.230715, , 
29.92, 0.233296, , 
29.96, 0.236940, , 
30.00, 0.240710, , 
30.03, 0.244984, , 
30.07, 0.250856, , 
30.11, 0.257609, , 
30.14, 0.263475, , 
30.18, 0.272334, , 
30.22, 0.281993, , 
30.25, 0.291255, , 
30.29, 0.302456, , 
30.33, 0.315259, , 
30.36, 0.327171, , 
30.40, 0.342220, , 
30.44, 0.356113, , 
30.47, 0.369917, , 
30.51, 0.386738, , 
30.55, 0.403377, , 
30.58, 0.416287, , 
30.62, 0.433857, , 
30.66, 0.450583, , 
30.69, 0.464885, , 
30.73, 0.480265, , 
30.77, 0.496009, , 
30.80, 0.509125, , 
30.84, 0.523968, , 
30.88, 0.536271, , 
30.91, 0.547472, , 
30.95, 0.559787, , 
30.99, 0.570865, , 
31.02, 0.578668, , 
31.06, 0.588293, , 
31.10, 0.596568, , 
31.13, 0.602648, , 
31.17, 0.609350, , 
31.21, 0.615080, , 
31.24, 0.618910, , 
31.28, 0.623993, , 
31.32, 0.627500, , 
31.35, 0.630037, , 
31.39, 0.633237, , 
31.43, 0.635471, , 
31.46, 0.636762, , 
31.50, 0.637938, , 
31.54, 0.638796, , 
31.57, 0.639157, , 
31.61, 0.639258, , 
31.65, 0.638941, , 
31.68, 0.638558, , 
31.72, 0.637606, , 
31.76, 0.636437, , 
31.79, 0.635440, , 
31.83, 0.633745, , 
31.87, 0.631964, , 
31.90, 0.630109, , 
31.94, 0.628237, , 
31.98, 0.625638, , 
32.01, 0.623156, , 
32.05, 0.620395, , 
32.09, 0.617617, , 
32.12, 0.614541, , 
32.16, 0.610980, , 
32.20, 0.607178, , 
32.23, 0.604148, , 
32.27, 0.599946, , 
32.31, 0.595937, , 
32.34, 0.591895, , 
32.38, 0.588021, , 
32.42, 0.583200, , 
32.45, 0.578872, , 
32.49, 0.573956, , 
32.53, 0.569747, , 
32.56, 0.564620, , 
32.60, 0.559218, , 
32.64, 0.553792, , 
32.67, 0.549502, , 
32.71, 0.543531, , 
32.75, 0.537752, , 
32.78, 0.532389, , 
32.82, 0.527384, , 
