Gradient Profiler Text Data File: hct116_polysome_leu.csv
Version: 1.88
Date: 2017-02-13
Time: 17:00:15

User: Alicia
Experiment name: 20170213_rpB_redohct1163h_polysomeshct1163h
UV Unit: EM-1
Rotor Manufacturer: Beckman
Rotor Model: SW41Ti
Speed: 35000 rpm
Gradient: sucrose 10.0% to 50.0% w/v
Time: 150
w2t:  x 10^0
Sample Volume: 0.3 ml
Number of Tubes: 8
Volume per mm: 0.143 ml/mm
Temperature: 4.0 deg C

Absorbance Units Full Scale (AUFS): 2.00
Manual-triggered gradient; (with distance; but no event marks)
Delay: No Delay
UV Wavelength: 254 nm
Samples / sec: 6 Hz
EM1 Speed: 0.22 mm/sec
Distance: 2.02 mm
Number: 52
Dead Volume: 0.000000 ml; Distance due to Dead Volume: 0.00 mm
Length of Tubing: 0 mm
Total Distance: 105.04 mm

Data Columns:
Distance(mm), Absorbance, Fraction Number, Fraction Volume(ml)
22.19, 0.093263, , 
22.22, 0.093051, , 
22.26, 0.092866, , 
22.30, 0.092500, , 
22.33, 0.092224, , 
22.37, 0.092032, , 
22.41, 0.091833, , 
22.44, 0.091647, , 
22.48, 0.091338, , 
22.52, 0.091171, , 
22.55, 0.090880, , 
22.59, 0.090646, , 
22.63, 0.090353, , 
22.66, 0.090180, , 
22.70, 0.090039, , 
22.74, 0.089722, , 
22.77, 0.089528, , 
22.81, 0.089252, , 
22.85, 0.089119, , 
22.88, 0.089040, , 
22.92, 0.088761, , 
22.96, 0.088650, , 
22.99, 0.088441, , 
23.03, 0.088227, , 
23.07, 0.088097, , 
23.10, 0.087991, , 
23.14, 0.087811, , 
23.18, 0.087589, , 
23.21, 0.087472, , 
23.25, 0.087260, , 
23.29, 0.087149, , 
23.32, 0.087074, , 
23.36, 0.086798, , 
23.40, 0.086729, , 
23.43, 0.086610, , 
23.47, 0.086515, , 
23.51, 0.086283, , 
23.54, 0.086148, , 
23.58, 0.086156, , 
23.62, 0.086017, , 
23.65, 0.085906, , 
23.69, 0.085696, , 
23.73, 0.085593, , 
23.76, 0.085597, , 
23.80, 0.085521, , 
23.84, 0.085565, , 
23.87, 0.085531, , 
23.91, 0.085579, , 
23.95, 0.085537, , 
23.98, 0.085537, , 
24.02, 0.085624, , 
24.06, 0.085716, , 
24.09, 0.085967, , 
24.13, 0.086088, , 
24.17, 0.086344, , 
24.20, 0.086630, , 
24.24, 0.086955, , 
24.28, 0.087397, , 
24.31, 0.087815, , 
24.35, 0.088545, , 
24.39, 0.089304, , 
24.42, 0.089984, , 
24.46, 0.091048, , 
24.50, 0.092293, , 
24.53, 0.093570, , 
24.57, 0.094831, , 
24.61, 0.096631, , 
24.64, 0.098395, , 
24.68, 0.100499, , 
24.72, 0.102862, , 
24.75, 0.105358, , 
24.79, 0.108405, , 
24.83, 0.111922, , 
24.86, 0.114989, , 
24.90, 0.119015, , 
24.94, 0.123650, , 
24.97, 0.128075, , 
25.01, 0.132486, , 
25.05, 0.138251, , 
25.08, 0.143699, , 
25.12, 0.149695, , 
25.16, 0.155901, , 
25.19, 0.162082, , 
25.23, 0.168963, , 
25.27, 0.176490, , 
25.30, 0.182636, , 
25.34, 0.190122, , 
25.38, 0.198186, , 
25.41, 0.205373, , 
25.45, 0.212119, , 
25.49, 0.220261, , 
25.52, 0.227239, , 
25.56, 0.234610, , 
25.60, 0.241801, , 
25.63, 0.248470, , 
25.67, 0.255355, , 
25.71, 0.262254, , 
25.74, 0.267630, , 
25.78, 0.273887, , 
25.82, 0.280242, , 
25.85, 0.285585, , 
25.89, 0.290280, , 
25.93, 0.295640, , 
25.96, 0.300134, , 
26.00, 0.304593, , 
26.04, 0.308758, , 
26.07, 0.312436, , 
26.11, 0.316123, , 
26.15, 0.319487, , 
26.18, 0.322433, , 
26.22, 0.324949, , 
26.26, 0.327562, , 
26.29, 0.329625, , 
26.33, 0.331453, , 
26.37, 0.332829, , 
26.40, 0.334151, , 
26.44, 0.335335, , 
26.48, 0.336233, , 
26.51, 0.336647, , 
26.55, 0.337240, , 
26.59, 0.337654, , 
26.62, 0.337948, , 
26.66, 0.338017, , 
26.70, 0.337873, , 
26.73, 0.337748, , 
26.77, 0.337415, , 
26.81, 0.337167, , 
26.84, 0.336713, , 
26.88, 0.336203, , 
26.92, 0.335650, , 
26.95, 0.335040, , 
26.99, 0.334443, , 
27.03, 0.333793, , 
27.06, 0.333176, , 
27.10, 0.332488, , 
27.14, 0.331665, , 
27.17, 0.330989, , 
27.21, 0.330091, , 
27.25, 0.329195, , 
27.28, 0.328222, , 
27.32, 0.327385, , 
27.36, 0.326604, , 
27.39, 0.325928, , 
27.43, 0.325064, , 
27.47, 0.323995, , 
27.50, 0.323153, , 
27.54, 0.322405, , 
27.58, 0.321541, , 
27.61, 0.320827, , 
27.65, 0.319765, , 
27.69, 0.318914, , 
27.72, 0.318022, , 
27.76, 0.317148, , 
27.80, 0.316167, , 
27.83, 0.315370, , 
27.87, 0.314444, , 
27.91, 0.313415, , 
27.94, 0.312531, , 
27.98, 0.311587, , 
28.02, 0.310475, , 
28.05, 0.309527, , 
28.09, 0.308441, , 
28.13, 0.307477, , 
28.16, 0.306486, , 
28.20, 0.305414, , 
28.24, 0.304194, , 
28.27, 0.303193, , 
28.31, 0.302099, , 
28.35, 0.300761, , 
28.38, 0.299659, , 
28.42, 0.298527, , 
28.46, 0.297145, , 
28.49, 0.296045, , 
28.53, 0.294740, , 
28.57, 0.293547, , 
28.60, 0.292329, , 
28.64, 0.291047, , 
28.68, 0.289524, , 
28.71, 0.288337, , 
28.75, 0.287058, , 
28.79, 0.285510, , 
28.82, 0.284213, , 
28.86, 0.282966, , 
28.90, 0.281460, , 
28.93, 0.280092, , 
28.97, 0.278486, , 
29.01, 0.277088, , 
29.04, 0.275756, , 
29.08, 0.274396, , 
29.12, 0.272796, , 
29.15, 0.271452, , 
29.19, 0.269983, , 
29.23, 0.268286, , 
29.26, 0.266819, , 
29.30, 0.265382, , 
29.34, 0.263715, , 
29.37, 0.262317, , 
29.41, 0.260672, , 
29.45, 0.259280, , 
29.48, 0.257755, , 
29.52, 0.256201, , 
29.56, 0.254704, , 
29.59, 0.253390, , 
29.63, 0.252139, , 
29.67, 0.250670, , 
29.70, 0.249604, , 
29.74, 0.248277, , 
29.78, 0.247203, , 
29.81, 0.246160, , 
29.85, 0.245008, , 
29.89, 0.243973, , 
29.92, 0.243111, , 
29.96, 0.242145, , 
30.00, 0.241460, , 
30.03, 0.240819, , 
30.07, 0.240296, , 
30.11, 0.239767, , 
30.14, 0.239505, , 
30.18, 0.239275, , 
30.22, 0.239251, , 
30.25, 0.239483, , 
30.29, 0.239842, , 
30.33, 0.240581, , 
30.36, 0.241243, , 
30.40, 0.242447, , 
30.44, 0.244076, , 
30.47, 0.245880, , 
30.51, 0.248158, , 
30.55, 0.251314, , 
30.58, 0.254750, , 
30.62, 0.259010, , 
30.66, 0.263495, , 
30.69, 0.269250, , 
30.73, 0.276115, , 
30.77, 0.284122, , 
30.80, 0.291005, , 
30.84, 0.301368, , 
30.88, 0.312580, , 
30.91, 0.323759, , 
30.95, 0.335333, , 
30.99, 0.350118, , 
31.02, 0.364120, , 
31.06, 0.380355, , 
31.10, 0.395051, , 
31.13, 0.411717, , 
31.17, 0.429759, , 
31.21, 0.448139, , 
31.24, 0.462373, , 
31.28, 0.481496, , 
31.32, 0.499445, , 
31.35, 0.515457, , 
31.39, 0.530417, , 
31.43, 0.547355, , 
31.46, 0.561573, , 
31.50, 0.575698, , 
31.54, 0.588786, , 
31.57, 0.600578, , 
31.61, 0.611269, , 
31.65, 0.623521, , 
31.68, 0.631651, , 
31.72, 0.640477, , 
31.76, 0.649081, , 
31.79, 0.655677, , 
31.83, 0.661305, , 
31.87, 0.667209, , 
31.90, 0.671873, , 
31.94, 0.676052, , 
31.98, 0.679512, , 
32.01, 0.682394, , 
32.05, 0.684674, , 
32.09, 0.686662, , 
32.12, 0.687765, , 
32.16, 0.688756, , 
32.20, 0.689315, , 
32.23, 0.689317, , 
32.27, 0.689103, , 
32.31, 0.688298, , 
32.34, 0.687366, , 
32.38, 0.686038, , 
32.42, 0.684535, , 
32.45, 0.682864, , 
32.49, 0.680778, , 
32.53, 0.678419, , 
32.56, 0.676324, , 
32.60, 0.673723, , 
32.64, 0.670674, , 
32.67, 0.667722, , 
32.71, 0.664770, , 
32.75, 0.661057, , 
32.78, 0.657558, , 
32.82, 0.653799, , 
